loan_id,origination_date,state,loan_type,loan_amount,interest_rate,loan_term_months,credit_score,annual_income,dti_ratio,borrower_segment,delinquency_status,days_past_due,loss_given_default,prob_of_default,origination_year,origination_quarter,is_default,is_delinquent,model_pd,risk_band
LN000001,2021-11-13,NY,Auto,24880,0.0429,60,768,103531,0.205,Prime,Current,1,0,0.0329,2021,2021Q4,0,0,0.2305,High
LN000002,2022-12-23,FL,Credit Card,4293,0.0531,0,704,139539,0.078,Near-Prime,Current,0,0,0.066,2022,2022Q4,0,0,0.3426,Critical
LN000003,2023-04-22,CO,Auto,25958,0.024,60,826,33012,0.16,Near-Prime,Current,0,0,0.0099,2023,2023Q2,0,0,0.1801,High
LN000004,2021-11-22,CA,Auto,24385,0.0534,60,729,69272,0.395,Near-Prime,Current,1,0,0.0592,2021,2021Q4,0,0,0.3294,Critical
LN000005,2021-11-24,IL,Mortgage,179390,0.0453,360,760,71580,0.386,Near-Prime,Current,0,0,0.0175,2021,2021Q4,0,0,0.259,High
LN000006,2019-09-05,GA,Student,30689,0.0307,120,786,64007,0.163,Near-Prime,Current,4,0,0.0145,2019,2019Q3,0,0,0.2609,High
LN000007,2021-07-10,MI,Personal,13401,0.0437,48,732,53466,0.246,Near-Prime,Current,3,0,0.0705,2021,2021Q3,0,0,0.3273,Critical
LN000008,2024-05-21,IN,Auto,14836,0.0258,60,815,44996,0.283,Near-Prime,Current,0,0,0.0105,2024,2024Q2,0,0,0.182,High
LN000009,2024-10-25,NY,Mortgage,322213,0.0769,360,585,27369,0.232,Subprime,30-59 DPD,48,0,0.1591,2024,2024Q4,0,1,0.6787,Critical
LN000010,2023-04-22,VA,Auto,20008,0.0241,60,781,55207,0.332,Near-Prime,Charged-Off,363,19660,0.0344,2023,2023Q2,1,1,0.174,High
LN000011,2024-05-03,NJ,Mortgage,588968,0.0409,360,762,92233,0.27,Prime,Current,1,0,0.015,2024,2024Q2,0,0,0.3193,Critical
LN000012,2024-11-19,NC,Mortgage,363384,0.0229,360,804,103964,0.211,Prime,Current,3,0,0.0057,2024,2024Q4,0,0,0.2073,High
LN000013,2024-10-31,WA,Auto,15833,0.0241,60,817,65501,0.148,Near-Prime,Current,0,0,0.0048,2024,2024Q4,0,0,0.1352,Medium
LN000014,2020-06-13,FL,Mortgage,265119,0.0596,360,678,36524,0.116,Near-Prime,Current,0,0,0.0497,2020,2020Q2,0,0,0.4298,Critical
LN000015,2023-01-31,CA,Mortgage,489804,0.0423,360,786,31563,0.182,Near-Prime,Current,0,0,0.0265,2023,2023Q1,0,0,0.298,High
LN000016,2020-09-20,TX,Personal,9003,0.054,48,686,43954,0.462,Subprime,Current,2,0,0.0741,2020,2020Q3,0,0,0.4711,Critical
LN000017,2021-04-18,FL,Mortgage,202959,0.0567,360,687,23039,0.34,Near-Prime,Current,0,0,0.0485,2021,2021Q2,0,0,0.4171,Critical
LN000018,2020-06-28,GA,Mortgage,250796,0.0175,360,835,16958,0.321,Near-Prime,Current,0,0,0.0071,2020,2020Q2,0,0,0.1715,High
LN000019,2023-07-11,AL,Mortgage,244438,0.025,360,818,30559,0.154,Near-Prime,Current,0,0,0.0116,2023,2023Q3,0,0,0.2037,High
LN000020,2021-04-17,MA,Auto,43323,0.0202,60,830,69979,0.279,Near-Prime,Current,0,0,0.0048,2021,2021Q2,0,0,0.149,Medium
